assembly_accession,assembly_name,organism_name,organism_taxonomic_id,assembly_release_date,assembly_release_year,checkm_completeness,checkm_completeness_percentile,checkm_contamination,checkm_version,checkm_marker_count,collection_date
GCA_000006155.2,ASM615v2,Bacillus anthracis str. A2012,191218,2002-05-09,2002,89.31,1.2,0.64,v1.2.2,,2025-01-27
GCF_000006645.1,ASM664v1,Yersinia pestis KIM10+,187410,2002-07-29,2002,98.65,48.82991,0.86,v1.2.2,,2025-01-27
GCF_000006965.1,ASM696v1,Sinorhizobium meliloti 1021,266834,2003-05-06,2003,98.52,20.556746,0.92,v1.2.2,,2025-01-27
GCF_000007625.1,ASM762v1,Clostridium tetani E88,212717,2003-02-05,2003,98.14,11.864407,0.16,v1.2.2,,2025-01-27
GCA_000011065.1,ASM1106v1,Bacteroides thetaiotaomicron VPI-5482,226186,2003-03-28,2003,97.5,59.12863,0.41,v1.2.3,,2025-01-27
GCA_000007805.1,ASM780v1,Pseudomonas syringae pv. tomato str. DC3000,223283,2003-03-05,2003,99.36,30.578512,0.19,v1.2.3,,2025-01-27
GCF_000011385.1,ASM1138v1,Gloeobacter violaceus PCC 7421,251221,2003-10-03,2003,96.06,100.0,1.63,v1.2.3,,2025-01-27
GCF_000195815.1,ASM19581v1,Corynebacterium diphtheriae NCTC 13129,257309,2003-11-10,2003,97.73,30.800821,0.1,v1.2.2,,2025-01-27
GCA_000006625.1,ASM662v1,Ureaplasma parvum serovar 3 str. ATCC 700970,273119,2003-07-17,2003,98.8,76.92308,,v1.2.2,,2025-01-27
GCA_000007485.1,ASM748v1,Tropheryma whipplei str. Twist,203267,2003-02-24,2003,85.62,100.0,,v1.2.3,,2025-01-27
GCF_000007705.1,ASM770v1,Chromobacterium violaceum ATCC 12472,243365,2003-08-22,2003,99.22,84.84849,1.43,v1.2.3,,2025-01-27
GCA_000195715.1,ASM19571v1,Bordetella pertussis Tohama I,257313,2003-08-12,2003,98.33,99.44444,0.52,v1.2.2,,2025-01-27
GCA_000007405.1,ASM740v1,Shigella flexneri 2a str. 2457T,198215,2003-04-22,2003,98.2,38.53119,0.44,v1.2.2,,2025-01-27
GCA_000195695.1,ASM19569v1,Bordetella parapertussis 12822,257311,2003-08-12,2003,98.86,100.0,,v1.2.2,,2025-01-27
GCA_000195855.1,ASM19585v1,Mycobacterium leprae TN,272631,2003-05-06,2003,96.38,100.0,0.6,v1.2.2,,2025-01-27
GCA_000195675.1,ASM19567v1,Bordetella bronchiseptica RB50,257310,2003-08-12,2003,99.92,100.0,,v1.2.2,,2025-01-27
GCF_000007945.1,ASM794v1,[Haemophilus] ducreyi 35000HP,233412,2003-07-23,2003,96.39,77.41936,0.41,v1.2.2,,2025-01-27
GCA_000007545.1,ASM754v1,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,209261,2003-03-21,2003,98.63,13.607343,0.45,v1.2.2,,2025-01-27
GCF_000166935.1,ASM16693v1,Rickettsia sibirica 246,272951,2003-02-06,2003,99.88,53.846153,,v1.2.3,,2025-01-27
GCA_000195735.1,ASM19573v1,Rickettsia prowazekii str. Madrid E,272947,2003-05-06,2003,93.39,23.076923,0.33,v1.2.3,,2025-01-27
GCF_000009745.1,ASM974v1,Vibrio vulnificus YJ016,196600,2003-10-03,2003,99.26,75.77256,0.51,v1.2.2,,2025-01-27
GCA_000007725.1,ASM772v1,Buchnera aphidicola str. Bp (Baizongia pistaciae),224915,2003-01-29,2003,99.58,96.350365,,v1.2.2,,2025-01-27
GCF_000007785.1,ASM778v1,Enterococcus faecalis V583,226185,2003-03-28,2003,99.66,99.977615,0.22,v1.2.2,,2025-01-27
GCA_000007905.1,ASM790v1,Helicobacter hepaticus ATCC 51449,235279,2003-06-26,2003,98.78,100.0,,v1.2.2,,2025-01-27
GCF_000195795.1,ASM19579v1,Listeria innocua Clip11262,272626,2003-05-06,2003,99.41,98.23529,0.09,v1.2.2,,2025-01-27
GCA_000196115.1,ASM19611v1,Rhodopirellula baltica SH 1,243090,2003-07-07,2003,98.85,100.0,0.51,v1.2.3,,2025-01-27
GCF_000196035.1,ASM19603v1,Listeria monocytogenes EGD-e,169963,2003-05-06,2003,98.58,11.088356,0.32,v1.2.3,,2025-01-27
GCF_000009085.1,ASM908v1,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,192222,2003-05-06,2003,99.59,91.21842,0.25,v1.2.3,,2025-01-27
GCF_000196135.1,ASM19613v1,Wolinella succinogenes DSM 1740,273121,2003-09-08,2003,98.87,66.666664,0.33,v1.2.2,,2025-01-27
GCF_000195995.1,ASM19599v1,Salmonella enterica subsp. enterica serovar Typhi str. CT18,220341,2003-05-06,2003,97.98,6.735834,0.45,v1.2.2,,2025-01-27
GCF_000196075.1,ASM19607v1,Tropheryma whipplei TW08/27,218496,2003-05-06,2003,85.62,100.0,,v1.2.2,,2025-01-27
GCA_000009125.1,ASM912v1,Ralstonia pseudosolanacearum GMI1000,267608,2003-05-06,2003,99.97,100.0,0.17,v1.2.3,,2025-01-27
GCF_000196055.1,ASM19605v1,Streptococcus agalactiae NEM316,211110,2003-05-06,2003,99.16,51.850346,0.13,v1.2.3,,2025-01-27
GCA_000011465.1,ASM1146v1,Prochlorococcus marinus subsp. pastoris str. CCMP1986,59919,2003-08-18,2003,99.45,37.037037,,v1.2.3,,2025-01-27
GCF_000196155.1,ASM19615v1,Photorhabdus laumondii subsp. laumondii TTO1,243265,2003-10-03,2003,98.43,86.8421,0.01,v1.2.2,,2025-01-27
GCF_000007845.1,ASM784v1,Bacillus anthracis str. Ames,198094,2003-04-30,2003,98.78,100.0,0.4,v1.2.2,,2025-01-27
GCF_000011485.1,ASM1148v1,Prochlorococcus marinus str. MIT 9313,74547,2003-08-18,2003,99.55,45.679012,0.59,v1.2.2,,2025-01-27
GCF_000009105.1,ASM910v1,Neisseria meningitidis Z2491,122587,2003-05-06,2003,99.02,67.08662,0.15,v1.2.2,,2025-01-27
GCF_000009145.1,ASM914v1,Nitrosomonas europaea ATCC 19718,228410,2003-05-06,2003,99.63,100.0,0.31,v1.2.2,,2025-01-27
GCA_000007245.1,ASM724v1,Xylella fastidiosa Temecula1,183190,2003-01-29,2003,97.6,85.06224,0.17,v1.2.2,,2025-01-27
GCF_000007585.1,ASM758v1,Porphyromonas gingivalis W83,242619,2003-09-02,2003,98.69,98.97959,0.48,v1.2.3,,2025-01-27
GCF_000007605.1,ASM760v1,Chlamydia caviae GPIC,227941,2003-04-14,2003,98.67,50.0,0.23,v1.2.2,,2025-01-27
GCF_000009065.1,ASM906v1,Yersinia pestis CO92,214092,2003-05-06,2003,98.59,39.89726,0.86,v1.2.2,,2025-01-27
GCF_000006685.1,ASM668v1,Chlamydia muridarum str. Nigg,243161,2003-03-26,2003,98.49,79.411766,1.16,v1.2.2,,2025-01-27
GCF_000007205.1,ASM720v1,Chlamydia pneumoniae TW-183,182082,2003-07-25,2003,98.49,100.0,0.3,v1.2.2,,2025-01-27
GCA_000195875.1,ASM19587v1,Mycoplasmopsis pulmonis UAB CTIP,272635,2003-05-06,2003,94.67,100.0,,v1.2.3,,2025-01-27
GCF_000007925.1,ASM792v1,Prochlorococcus marinus subsp. marinus str. CCMP1375,167539,2003-07-25,2003,99.78,60.493828,0.02,v1.2.2,,2025-01-27
GCA_000043285.1,ASM4328v1,Candidatus Blochmanniella floridana,203907,2003-08-08,2003,,,,,,2025-01-27
GCF_000195975.1,ASM19597v1,Parasynechococcus marenigrum WH 8102,84588,2003-08-18,2003,99.28,100.0,,v1.2.3,,2025-01-27
GCA_000203835.1,ASM20383v1,Streptomyces coelicolor A3(2),100226,2003-05-06,2003,98.86,7.6923075,,v1.2.2,,2025-01-27
GCF_000046685.1,ASM4668v1,Bartonella quintana str. Toulouse,283165,2004-06-25,2004,98.14,80.0,,v1.2.2,,2025-01-27
GCF_000048665.1,ASM4866v1,Legionella pneumophila str. Lens,297245,2004-10-03,2004,99.3,77.30024,0.28,v1.2.2,,2025-01-27
GCA_000007885.1,ASM788v1,Yersinia pestis biovar Microtus str. 91001,229193,2004-03-15,2004,98.26,15.667809,1.01,v1.2.2,,2025-01-27
GCA_000091545.1,ASM9154v1,Thermus thermophilus HB8,300852,2004-11-15,2004,97.28,92.68293,0.26,v1.2.3,,2025-01-27
GCA_000008045.1,ASM804v1,Rickettsia typhi str. Wilmington,257363,2004-08-19,2004,98.16,100.0,0.11,v1.2.3,,2025-01-27
GCF_000009665.1,ASM966v1,Staphylococcus aureus subsp. aureus Mu50,158878,2004-05-14,2004,98.01,34.787346,0.39,v1.2.2,,2025-01-27
GCF_000007685.1,ASM768v1,Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130,267671,2004-03-22,2004,74.48,51.288055,8.83,v1.2.2,,2025-01-27
GCA_000196175.1,ASM19617v1,Bdellovibrio bacteriovorus HD100,264462,2004-02-10,2004,98.31,73.07692,1.73,v1.2.3,,2025-01-27
GCA_000011525.1,ASM1152v1,Staphylococcus aureus subsp. aureus MSSA476,282459,2004-06-25,2004,98.28,48.228664,0.39,v1.2.2,,2025-01-27
GCA_000046705.1,ASM4670v1,Bartonella henselae str. Houston-1,283166,2004-06-25,2004,99.77,34.545456,0.13,v1.2.3,,2025-01-27
GCF_000007665.1,ASM766v1,Leifsonia xyli subsp. xyli str. CTCB07,281090,2004-08-04,2004,94.3,100.0,0.81,v1.2.3,,2025-01-27
GCA_000009925.1,ASM992v1,Bacteroides fragilis YCH46,295405,2004-09-16,2004,98.73,50.82192,0.11,v1.2.3,,2025-01-27
GCA_000008485.1,ASM848v1,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,272624,2004-09-24,2004,99.4,100.0,0.4,v1.2.2,,2025-01-27
GCA_000048645.1,ASM4864v1,Legionella pneumophila str. Paris,297246,2004-10-03,2004,99.15,64.95158,0.34,v1.2.2,,2025-01-27
GCA_000196095.1,ASM19609v1,Vibrio parahaemolyticus RIMD 2210633,223926,2004-05-11,2004,99.49,81.25,0.6,v1.2.3,,2025-01-27
GCA_000011665.1,ASM1166v1,Streptococcus pyogenes MGAS10394,286636,2004-08-03,2004,98.97,28.664707,0.08,v1.2.3,,2025-01-27
GCA_000011265.1,ASM1126v1,Staphylococcus aureus subsp. aureus MW2,196620,2004-05-11,2004,98.87,98.52231,0.39,v1.2.2,,2025-01-27
GCF_000009645.1,ASM964v1,Staphylococcus aureus subsp. aureus N315,158879,2004-05-11,2004,98.87,98.52231,0.39,v1.2.2,,2025-01-27
GCF_000008065.1,ASM806v1,Lactobacillus johnsonii NCC 533,257314,2004-02-02,2004,96.47,91.666664,0.37,v1.2.2,,2025-01-27
GCF_000011885.1,ASM1188v1,Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150,295319,2004-11-30,2004,98.67,18.97845,0.41,v1.2.2,,2025-01-27
GCA_000008445.1,ASM844v1,Bacillus anthracis str. 'Ames Ancestor',261594,2004-07-09,2004,98.78,100.0,0.4,v1.2.2,,2025-01-27
GCA_000011365.1,ASM1136v1,Bradyrhizobium diazoefficiens USDA 110,224911,2004-05-11,2004,99.17,40.217392,0.3,v1.2.2,,2025-01-27
GCA_000196255.1,ASM19625v1,Photobacterium profundum SS9,298386,2004-05-17,2004,98.14,33.333332,1.16,v1.2.2,,2025-01-27
GCA_000009785.1,ASM978v1,Geobacillus kaustophilus HTA426,235909,2004-12-04,2004,99.37,100.0,0.22,v1.2.3,,2025-01-27
GCF_000008165.1,ASM816v1,Bacillus anthracis str. Sterne,260799,2004-06-24,2004,98.78,100.0,0.4,v1.2.2,,2025-01-27
GCF_000009825.1,ASM982v1,Shouchella clausii KSM-K16,66692,2004-12-30,2004,99.35,98.57143,0.66,v1.2.2,,2025-01-27
GCA_000008505.1,ASM850v1,[Bacillus thuringiensis] serovar konkukian str. 97-27,281309,2004-12-27,2004,99.44,88.64954,0.32,v1.2.3,,2025-01-27
GCA_000196215.1,ASM19621v1,Borreliella bavariensis PBi,290434,2004-08-30,2004,98.43,100.0,,v1.2.3,,2025-01-27
GCF_000011605.1,ASM1160v1,Pectobacterium atrosepticum SCRI1043,218491,2004-07-01,2004,99.57,50.0,0.3,v1.2.2,,2025-01-27
GCF_000009725.1,ASM972v1,Synechocystis sp. PCC 6803,1148,2004-05-11,2004,99.29,33.333332,1.24,v1.2.3,,2025-01-27
GCF_000006665.1,ASM666v1,Escherichia coli O157:H7 str. EDL933,155864,2004-12-06,2004,99.38,81.34127,0.15,v1.2.2,,2025-01-27
GCA_000009605.1,ASM960v1,Buchnera aphidicola str. APS (Acyrthosiphon pisum),107806,2004-05-11,2004,99.41,94.89051,,v1.2.2,,2025-01-27
GCA_000011505.1,ASM1150v1,Staphylococcus aureus subsp. aureus MRSA252,282458,2004-06-25,2004,97.44,12.375675,0.68,v1.2.2,,2025-01-27
GCA_000007505.1,ASM750v1,Brucella suis 1330,204722,2004-10-13,2004,98.57,100.0,0.85,v1.2.3,,2025-01-27
GCA_000011245.1,ASM1124v1,Oceanobacillus iheyensis HTE831,221109,2004-02-19,2004,97.99,100.0,0.11,v1.2.3,,2025-01-27
GCF_000008185.1,ASM818v1,Treponema denticola ATCC 35405,243275,2004-02-03,2004,98.53,51.351353,,v1.2.2,,2025-01-27
GCF_000008465.1,ASM846v1,Idiomarina loihiensis L2TR,283942,2004-12-02,2004,99.91,100.0,0.34,v1.2.2,,2025-01-27
GCF_000009905.1,ASM990v1,Symbiobacterium thermophilum IAM 14863,292459,2004-09-02,2004,97.37,66.666664,1.78,v1.2.2,,2025-01-27
GCA_000046845.1,ASM4684v1,Acinetobacter baylyi ADP1,62977,2004-06-30,2004,99.01,100.0,0.42,v1.2.2,,2025-01-27
GCA_000011145.1,ASM1114v1,Halalkalibacterium halodurans C-125,272558,2004-05-11,2004,98.39,15.0,2.18,v1.2.2,,2025-01-27
GCF_000010065.1,ASM1006v1,Synechococcus elongatus PCC 6301,269084,2004-12-16,2004,96.85,57.142857,0.54,v1.2.2,,2025-01-27
GCF_000007825.1,ASM782v1,Bacillus cereus ATCC 14579,226900,2004-07-06,2004,95.67,6.818182,0.48,v1.2.2,,2025-01-27
GCF_000011305.1,ASM1130v1,Corynebacterium efficiens YS-314,196164,2004-05-11,2004,98.17,100.0,0.11,v1.2.3,,2025-01-27
GCF_000011325.1,ASM1132v1,Corynebacterium glutamicum ATCC 13032,196627,2004-02-18,2004,98.5,56.410255,0.02,v1.2.3,,2025-01-27
GCA_000008005.1,ASM800v1,Bacillus cereus ATCC 10987,222523,2004-02-23,2004,98.56,31.283422,0.11,v1.2.2,,2025-01-27
GCF_000011845.1,ASM1184v1,Streptococcus thermophilus CNRZ1066,299768,2004-11-15,2004,96.28,31.232876,0.65,v1.2.2,,2025-01-27
GCA_000009705.1,ASM970v1,Nostoc sp. PCC 7120 = FACHB-418,103690,2004-05-11,2004,98.97,100.0,0.27,v1.2.2,,2025-01-27
GCF_000008405.1,ASM840v1,Mesomycoplasma hyopneumoniae 232,295358,2004-10-08,2004,99.11,100.0,,v1.2.3,,2025-01-27
GCF_000006725.1,ASM672v1,Xylella fastidiosa 9a5c,160492,2004-06-04,2004,96.24,15.352697,0.05,v1.2.2,,2025-01-27
GCA_000011225.1,ASM1122v1,Malacoplasma penetrans HF-2,272633,2004-05-11,2004,92.63,50.0,,v1.2.3,,2025-01-27
GCF_000195755.1,ASM19575v1,Nitratidesulfovibrio vulgaris str. Hildenborough,882,2004-04-21,2004,98.65,85.71429,0.59,v1.2.3,,2025-01-27
GCA_000025965.1,ASM2596v1,Aromatoleum aromaticum EbN1,76114,2004-12-03,2004,100.0,100.0,0.37,v1.2.2,,2025-01-27
GCF_000008305.1,ASM830v1,Mesoplasma florum L1,265311,2004-07-19,2004,100.0,100.0,0.09,v1.2.3,,2025-01-27
GCF_000009625.1,ASM962v1,Mesorhizobium japonicum MAFF 303099,266835,2004-05-11,2004,99.48,8.333333,0.28,v1.2.2,,2025-01-27
GCF_000011545.1,ASM1154v1,Burkholderia pseudomallei K96243,272560,2004-09-16,2004,99.34,95.89169,0.92,v1.2.2,,2025-01-27
GCF_000008365.1,ASM836v1,Mycoplasma mobile 163K,267748,2004-05-18,2004,93.1,100.0,,v1.2.3,,2025-01-27
GCA_000008585.1,ASM858v1,Mycobacterium tuberculosis CDC1551,83331,2004-08-04,2004,96.94,17.785725,0.37,v1.2.2,,2025-01-27
GCF_000011285.1,ASM1128v1,Streptococcus pyogenes SSI-1,193567,2004-05-11,2004,99.56,70.09468,,v1.2.2,,2025-01-27
GCA_000007865.1,ASM786v1,Mycobacterium avium subsp. paratuberculosis K-10,262316,2004-01-30,2004,96.67,33.333332,0.46,v1.2.2,,2025-01-27
GCF_000009685.1,ASM968v1,Clostridium perfringens str. 13,195102,2004-05-11,2004,97.33,69.70464,0.43,v1.2.2,,2025-01-27
GCF_000008425.1,ASM842v1,Bacillus licheniformis DSM 13 = ATCC 14580,279010,2004-09-20,2004,98.53,93.96135,0.83,v1.2.3,,2025-01-27
GCA_000011165.1,ASM1116v1,Chlamydia pneumoniae J138,138677,2004-05-11,2004,98.05,18.75,0.27,v1.2.2,,2025-01-27
GCF_000008025.1,ASM802v1,Wolbachia endosymbiont of Drosophila melanogaster,163164,2004-02-05,2004,99.09,100.0,,v1.2.3,,2025-01-27
GCA_000011945.1,ASM1194v1,Anaplasma marginale str. St. Maries,234826,2004-12-06,2004,97.91,34.782608,0.97,v1.2.3,,2025-01-27
GCA_000008885.1,ASM888v1,Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis,36870,2004-05-11,2004,,,,,,2025-01-27
GCA_000008345.1,ASM834v1,Cutibacterium acnes KPA171202,267747,2004-07-30,2004,97.84,99.29754,0.62,v1.2.2,,2025-01-27
GCF_000009805.1,ASM980v1,Nocardia farcinica IFM 10152,247156,2004-10-08,2004,99.6,50.0,0.63,v1.2.3,,2025-01-27
GCA_000011345.1,ASM1134v1,Thermosynechococcus vestitus BP-1,197221,2004-05-11,2004,99.59,100.0,,v1.2.3,,2025-01-27
GCA_000011825.1,ASM1182v1,Streptococcus thermophilus LMG 18311,264199,2004-11-15,2004,96.12,26.027397,0.65,v1.2.2,,2025-01-27
GCF_000025945.1,ASM2594v1,Desulfotalea psychrophila LSv54,177439,2004-07-31,2004,91.93,100.0,,v1.2.3,,2025-01-27
GCF_000007745.1,ASM774v1,[Mannheimia] succiniciproducens MBEL55E,221988,2004-09-17,2004,98.7,100.0,0.59,v1.2.3,,2025-01-27
GCF_000008125.1,ASM812v1,Thermus thermophilus HB27,262724,2004-04-05,2004,96.65,78.04878,0.1,v1.2.3,,2025-01-27
GCA_000012525.1,ASM1252v1,Synechococcus elongatus PCC 7942 = FACHB-805,1140,2005-11-08,2005,98.33,80.95238,0.62,v1.2.2,,2025-01-27
GCA_000012785.1,ASM1278v1,Burkholderia pseudomallei 1710b,320372,2005-09-30,2005,99.18,70.77498,0.93,v1.2.2,,2025-01-27
GCF_000012865.1,ASM1286v1,Carboxydothermus hydrogenoformans Z-2901,246194,2005-10-21,2005,97.7,100.0,0.85,v1.2.2,,2025-01-27
GCA_000012325.1,ASM1232v1,Colwellia psychrerythraea 34H,167879,2005-07-26,2005,99.51,100.0,0.82,v1.2.2,,2025-01-27
GCF_000012625.1,ASM1262v1,Synechococcus sp. CC9605,110662,2005-10-27,2005,99.53,100.0,,v1.2.3,,2025-01-27
GCF_000012025.1,ASM1202v1,Shigella boydii Sb227,300268,2005-11-09,2005,95.38,46.268658,0.46,v1.2.2,,2025-01-27
GCA_000009865.1,ASM986v1,Staphylococcus haemolyticus JCSC1435,279808,2005-06-30,2005,99.4,85.955055,,v1.2.2,,2025-01-27
GCA_000204075.1,ASM20407v1,Trichormus variabilis ATCC 29413,240292,2005-09-15,2005,99.35,71.42857,0.11,v1.2.3,,2025-01-27
GCA_000012365.1,ASM1236v1,Burkholderia thailandensis E264,271848,2005-12-15,2005,100.0,100.0,0.06,v1.2.3,,2025-01-27
GCA_000011745.1,ASM1174v1,Candidatus Blochmanniella pennsylvanica str. BPEN,291272,2005-08-04,2005,97.97,100.0,0.09,v1.2.2,,2025-01-27
GCF_000012125.1,ASM1212v1,Chlamydia trachomatis A/HAR-13,315277,2005-09-23,2005,96.17,1.5957447,2.22,v1.2.3,,2025-01-27
GCF_000011925.1,ASM1192v1,Staphylococcus epidermidis RP62A,176279,2005-01-13,2005,99.76,100.0,,v1.2.2,,2025-01-27
GCF_000012505.1,ASM1250v1,Synechococcus sp. CC9902,316279,2005-10-26,2005,99.06,100.0,,v1.2.3,,2025-01-27
GCF_000012405.1,ASM1240v1,Thermobifida fusca YX,269800,2005-08-08,2005,98.72,100.0,0.43,v1.2.3,,2025-01-27
GCA_000012345.1,ASM1234v1,Candidatus Pelagibacter ubique HTCC1062,335992,2005-07-22,2005,99.55,93.10345,1.17,v1.2.2,,2025-01-27
GCA_000010125.1,ASM1012v1,Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292,342451,2005-08-12,2005,99.14,18.631178,0.22,v1.2.3,,2025-01-27
GCF_000012965.1,ASM1296v1,Sulfurimonas denitrificans DSM 1251,326298,2005-11-01,2005,99.15,100.0,,v1.2.2,,2025-01-27
GCF_000012945.1,ASM1294v1,Burkholderia lata,482957,2005-10-20,2005,99.38,10.0,0.09,v1.2.2,,2025-01-27
GCF_000012045.1,ASM1204v1,Staphylococcus aureus subsp. aureus COL,93062,2005-05-27,2005,97.64,15.66733,0.39,v1.2.2,,2025-01-27
GCA_000026005.1,ASM2600v1,Ehrlichia ruminantium str. Welgevonden,254945,2005-01-05,2005,98.8,100.0,0.49,v1.2.3,,2025-01-27
GCA_000050405.1,ASM5040v1,Ehrlichia ruminantium str. Gardel,302409,2005-02-01,2005,98.8,100.0,0.45,v1.2.3,,2025-01-27
GCA_000012745.1,ASM1274v1,Thiobacillus denitrificans ATCC 25259,292415,2005-09-01,2005,98.43,87.5,2.31,v1.2.2,,2025-01-27
GCA_000012565.1,ASM1256v1,Ehrlichia canis str. Jake,269484,2005-08-12,2005,99.26,100.0,0.11,v1.2.3,,2025-01-27
GCF_000006605.1,ASM660v1,Corynebacterium jeikeium K411,306537,2005-06-27,2005,97.9,80.0,1.68,v1.2.2,,2025-01-27
GCF_000012705.1,ASM1270v1,Streptococcus agalactiae A909,205921,2005-09-29,2005,99.04,45.668972,0.13,v1.2.2,,2025-01-27
GCA_000009005.1,ASM900v1,Staphylococcus aureus RF122,273036,2005-11-24,2005,97.6,14.890594,0.39,v1.2.2,,2025-01-27
GCA_000011705.1,ASM1170v1,Burkholderia mallei ATCC 23344,243160,2005-06-06,2005,98.02,91.96429,0.71,v1.2.2,,2025-01-27
GCA_000026025.1,ASM2602v1,Chlamydia abortus S26/3,218497,2005-04-01,2005,99.01,48.97959,,v1.2.2,,2025-01-27
GCA_000009025.1,ASM902v1,Dehalococcoides mccartyi CBDB1,255470,2005-08-19,2005,98.74,67.79661,0.18,v1.2.2,,2025-01-27
